name,slug,city,state,country,level,conference,officialWebsite,athleticsWebsite,sourceUrl,seasonYear,lastVerifiedAt
University of Utah,university-of-utah,Salt Lake City,UT,USA,NCAA Division I,Big 12,https://www.utah.edu,https://utahutes.com,https://utahutes.com,2025-2026,2026-04-29
University of Kansas,university-of-kansas,Lawrence,KS,USA,NCAA Division I,Big 12,https://www.ku.edu,https://kuathletics.com,https://kuathletics.com,2025-2026,2026-04-29
Kansas State University,kansas-state-university,Manhattan,KS,USA,NCAA Division I,Big 12,https://www.k-state.edu,https://kstatesports.com,https://kstatesports.com,2025-2026,2026-04-29
Baylor University,baylor-university,Waco,TX,USA,NCAA Division I,Big 12,https://www.baylor.edu,https://baylorbears.com,https://baylorbears.com,2025-2026,2026-04-29
Texas Tech University,texas-tech-university,Lubbock,TX,USA,NCAA Division I,Big 12,https://www.ttu.edu,https://texastech.com,https://texastech.com,2025-2026,2026-04-29
Oklahoma State University,oklahoma-state-university,Stillwater,OK,USA,NCAA Division I,Big 12,https://okstate.edu,https://okstate.com,https://okstate.com,2025-2026,2026-04-29
University of Cincinnati,university-of-cincinnati,Cincinnati,OH,USA,NCAA Division I,Big 12,https://www.uc.edu,https://gobearcats.com,https://gobearcats.com,2025-2026,2026-04-29
University of Colorado,university-of-colorado,Boulder,CO,USA,NCAA Division I,Big 12,https://www.colorado.edu,https://cubuffs.com,https://cubuffs.com,2025-2026,2026-04-29
Arizona State University,arizona-state-university,Tempe,AZ,USA,NCAA Division I,Big 12,https://www.asu.edu,https://thesundevils.com,https://thesundevils.com,2025-2026,2026-04-29
University of Arizona,university-of-arizona,Tucson,AZ,USA,NCAA Division I,Big 12,https://www.arizona.edu,https://arizonawildcats.com,https://arizonawildcats.com,2025-2026,2026-04-29
University of Utah,university-of-utah,Salt Lake City,UT,USA,NCAA Division I,Big 12,https://www.utah.edu,https://utahutes.com,https://utahutes.com,2025-2026,2026-04-29
University of Kansas,university-of-kansas,Lawrence,KS,USA,NCAA Division I,Big 12,https://www.ku.edu,https://kuathletics.com,https://kuathletics.com,2025-2026,2026-04-29
Kansas State University,kansas-state-university,Manhattan,KS,USA,NCAA Division I,Big 12,https://www.k-state.edu,https://kstatesports.com,https://kstatesports.com,2025-2026,2026-04-29
Baylor University,baylor-university,Waco,TX,USA,NCAA Division I,Big 12,https://www.baylor.edu,https://baylorbears.com,https://baylorbears.com,2025-2026,2026-04-29
Texas Tech University,texas-tech-university,Lubbock,TX,USA,NCAA Division I,Big 12,https://www.ttu.edu,https://texastech.com,https://texastech.com,2025-2026,2026-04-29
Oklahoma State University,oklahoma-state-university,Stillwater,OK,USA,NCAA Division I,Big 12,https://okstate.edu,https://okstate.com,https://okstate.com,2025-2026,2026-04-29
University of Cincinnati,university-of-cincinnati,Cincinnati,OH,USA,NCAA Division I,Big 12,https://www.uc.edu,https://gobearcats.com,https://gobearcats.com,2025-2026,2026-04-29
